Dzień dobry, Good morning
Jak się masz?, How are you?
Proszę, Please
Dziękuję, Thank you
Przepraszam, Sorry
Tak, Yes
Nie, No
Ile to kosztuje?, How much does it cost?
Gdzie jest toaleta?, Where is the bathroom?
Miłego dnia, Have a nice day
Do widzenia, Goodbye
Do zobaczenia, See you later
Proszę mi pomóc, Please help me
Nie rozumiem, I don't understand
Mówię trochę po polsku, I speak a little Polish
Gdzie jest dworzec kolejowy?, Where is the train station?
Chciałbym zarezerwować pokój, I would like to reserve a room
Jaka jest godzina?, What time is it?
To jest bardzo dobre, This is very good
Nie mam pieniędzy, I don't have money
Potrzebuję pomocy, I need help
Gdzie mogę kupić bilety?, Where can I buy tickets?
Jak się nazywasz?, What is your name?
Mam na imię..., My name is...
Miło cię poznać, Nice to meet you
Czy mówisz po angielsku?, Do you speak English?
Jak dojechać do centrum miasta?, How do I get to the city center?
Czy to daleko stąd?, Is it far from here?
Ile czasu to zajmie?, How long will it take?
Czy mogę zapłacić kartą?, Can I pay by card?
To za drogo, That's too expensive
Czy macie zniżki?, Do you have discounts?
Poproszę rachunek, I would like the bill, please
Smacznego, Enjoy your meal
Na zdrowie, Cheers
Na zdrowie, To your health
Wszystkiego najlepszego, All the best
Szczęśliwego Nowego Roku, Happy New Year
Wesołych Świąt, Merry Christmas
Jakie jest dzisiejsze menu?, What is today's menu?
Czy to jest wegetariańskie?, Is this vegetarian?
Mam alergię na..., I'm allergic to...
Gdzie jest najbliższa apteka?, Where is the nearest pharmacy?
Czy potrzebuję recepty?, Do I need a prescription?
Kiedy otwieracie?, When do you open?
Kiedy zamykacie?, When do you close?
Czy jest otwarte w niedzielę?, Is it open on Sunday?
Chcę zamówić taksówkę, I want to order a taxi
Proszę zatrzymać się tutaj, Please stop here
Ile kosztuje przejazd do...?, How much is the fare to...?
Czy mogę prosić o wodę?, Can I have some water, please?
Gdzie jest wyjście awaryjne?, Where is the emergency exit?
To jest pilne, This is urgent
Proszę zadzwonić po pogotowie, Please call an ambulance
Gdzie jest szpital?, Where is the hospital?
Czy mogę skorzystać z internetu?, Can I use the internet?
Jaki jest kod Wi-Fi?, What is the Wi-Fi password?
Czy to jest bezpieczne?, Is this safe?
Muszę iść, I have to go
Do jutra, See you tomorrow
Życzę miłego weekendu, Have a nice weekend
Bardzo mi przykro, I'm very sorry
Nie ma problemu, No problem
Oczywiście, Of course
Może później, Maybe later
Nie wiem, I don't know
To zależy, It depends
Proszę mówić wolniej, Please speak slower
Czy możesz to powtórzyć?, Can you repeat that?
Jak to się pisze?, How do you spell that?
Co to znaczy?, What does that mean?
Bardzo dziękuję za pomoc, Thank you very much for your help
To miłe z twojej strony, That's kind of you
Nie ma za co, You're welcome
Przepraszam za spóźnienie, Sorry for being late
Czy to ważne?, Is this important?
Muszę się zastanowić, I need to think about it
To dobry pomysł, That's a good idea
Nie zgadzam się, I don't agree
Myślę, że masz rację, I think you're right
Co się stało?, What happened?
Wszystko w porządku?, Is everything okay?
Czy mogę ci pomóc?, Can I help you?
Szukam..., I'm looking for...
Czy widziałeś...?, Have you seen...?
To tutaj, It's here
To tam, It's over there
Prosto przed siebie, Straight ahead
W lewo, To the left
W prawo, To the right
Za rogiem, Around the corner
Naprzeciwko, Opposite
Obok, Next to
Między, Between
Przy, Near
Przy, By
Ponad, Above
Poniżej, Below
Wewnątrz, Inside
Na zewnątrz, Outside
Przed, In front of
Za, Behind
Dzisiaj, Today
Jutro, Tomorrow
Wczoraj, Yesterday
Teraz, Now
Później, Later
Zawsze, Always
Czasami, Sometimes
Nigdy, Never
Często, Often
Rzadko, Rarely
Powoli, Slowly
Szybko, Quickly
Cicho, Quietly
Głośno, Loudly
Dobrze, Well
Źle, Badly
Łatwo, Easily
Trudno, With difficulty
Szczęśliwy, Happy
Smutny, Sad
Zmęczony, Tired
Głodny, Hungry
Spragniony, Thirsty
Zimno mi, I'm cold
Gorąco mi, I'm hot
Jestem chory, I'm sick
Czuję się dobrze, I feel good
Czuję się źle, I feel bad
To jest piękne, This is beautiful
To jest straszne, This is terrible
